Airport name,DST,IATA,ICAO,Location served,Time
Croker Island Airport,,CKI,YCKI,"Croker Island, Northern Territory, Australia",UTC+09:30
Sharp County Regional Airport[1] (FAA: CVK),Mar-Nov,CKK,KCVK,"Ash Flat, Arkansas, United States",UTC−06:00
Chkalovsky Airport,,CKL,UUMU,"Shchyolkovo (Moscow Oblast), Russia",UTC+03:00
Fletcher Field,Mar-Nov,CKM,KCKM,"Clarksdale, Mississippi, United States",UTC−06:00
Crookston Municipal Airport (Kirkwood Field),Mar-Nov,CKN,KCKN,"Crookston, Minnesota, United States",UTC−06:00
Cornélio Procópio Airport,Oct-Feb,CKO,SSCP,"Cornélio Procópio, Paraná, Brazil",UTC−03:00
Crane Island Airstrip[1],Mar-Nov,CKR,,"Crane Island, Washington, United States",UTC−08:00
Carajás Airport,,CKS,SBCJ,"Parauapebas, Pará, Brazil",UTC−03:00
Sarakhs Airport,Mar-Sep,CKT,OIMC,"Sarakhs, Iran",UTC+03:30
Cordova Municipal Airport,Mar-Nov,CKU,,"Cordova, Alaska, United States",UTC−09:00
Clarksville–Montgomery County Regional Airport (Outlaw Field),Mar-Nov,CKV,KCKV,"Clarksville, Tennessee, United States",UTC−06:00
Graeme Rowley Aerodrome,,CKW,YCHK,"Christmas Creek mine, Western Australia",UTC+08:00
Chicken Airport,Mar-Nov,CKX,,"Chicken, Alaska, United States",UTC−09:00
Conakry International Airport (Gbessia Int'l Airport),,CKY,GUCY,"Conakry, Guinea",UTC±00:00
Çanakkale Airport,,CKZ,LTBH,"Çanakkale, Turkey",UTC+03:00
Comilla Airport,,CLA,VGCM,"Comilla, Bangladesh",UTC+06:00
McClellan–Palomar Airport (FAA: CRQ),Mar-Nov,CLD,KCRQ,"Carlsbad, California, United States",UTC−08:00
Cleveland Hopkins International Airport,Mar-Nov,CLE,KCLE,"Cleveland, Ohio, United States",UTC−05:00
